#Element,Symbol,Name,AtomicNumber,Mass,Charge,Mult
X,X,Shell,0,0,0,1
VS,VS,Vsite,0,0,0,1
H,H,Hydrogen,1,1.0079,0,2
He,He,Helium,2,4.0026,0,1
Li,Li,Lithium,3,6.941,0,2
Li+,Li,Lithium,3,6.941,1,1
Be,Be,Beryllium,4,9.0122,0,1
Be2+,Be,Beryllium,4,9.0122,2,1
B,B,Boron,5,10.811,0,2
C,C,Carbon,6,12.0107,0,3
N,N,Nitrogen,7,14.0067,0,4
O,O,Oxygen,8,15.9994,0,3
O2-,O,Oxygen,8,15.9994,-2,1
F,F,Fluorine,9,18.9984,0,2
F-,F,Fluorine,9,18.9984,-1,1
Ne,Ne,Neon,10,20.1797,0,1
Na,Na,Sodium,11,22.9897,0,2
Na+,Na,Sodium,11,22.9897,1,1
Mg,Mg,Magnesium,12,24.305,0,1
Mg2+,Mg,Magnesium,12,24.305,2,1
Al,Al,Aluminum,13,26.9815,0,2
Al3+,Al,Aluminum,13,26.9815,3,1
Si,Si,Silicon,14,28.0855,0,3
P,P,Phosphorus,15,30.9738,0,4
S,S,Sulfur,16,32.065,0,3
S2-,S,Sulfur,16,32.065,-2,1
Cl,Cl,Chlorine,17,35.453,0,2
Cl-,Cl,Chlorine,17,35.453,-1,1
Ar,Ar,Argon,18,39.948,0,1
K,K,Potassium,19,39.0983,0,2
K+,K,Potassium,19,39.0983,1,1
Ca,Ca,Calcium,20,40.078,0,1
Ca2+,Ca,Calcium,20,40.078,2,1
Sc,Sc,Scandium,21,44.9559,0,2
Ti,Ti,Titanium,22,47.867,0,1
V,V,Vanadium,23,50.9415,0,2
Cr,Cr,Chromium,24,51.9961,0,1
Mn,Mn,Manganese,25,54.938,0,2
Fe,Fe,Iron,26,55.845,0,1
Co,Co,Cobalt,27,58.9332,0,2
Ni,Ni,Nickel,28,58.6934,0,1
Cu,Cu,Copper,29,63.546,0,2
Zn,Zn,Zinc,30,65.39,0,1
Ga,Ga,Gallium,31,69.723,0,2
Ge,Ge,Germanium,32,72.64,0,1
As,As,Arsenic,33,74.9216,0,2
Se,Se,Selenium,34,78.96,0,1
Br,Br,Bromine,35,79.904,0,2
Br-,Br,Bromine,35,79.904,-1,1
Kr,Kr,Krypton,36,83.8,0,1
Rb,Rb,Rubidium,37,85.4678,0,2
Rb+,Rb,Rubidium,37,85.4678,1,1
Sr,Sr,Strontium,38,87.62,0,1
Y,Y,Yttrium,39,88.9059,0,2
Zr,Zr,Zirconium,40,91.224,0,1
Nb,Nb,Niobium,41,92.9064,0,2
Mo,Mo,Molybdenum,42,95.94,0,1
Tc,Tc,Technetium,43,98,0,2
Ru,Ru,Ruthenium,44,101.07,0,1
Rh,Rh,Rhodium,45,102.906,0,2
Pd,Pd,Palladium,46,106.42,0,1
Ag,Ag,Silver,47,107.868,0,2
Cd,Cd,Cadmium,48,112.411,0,1
In,In,Indium,49,114.818,0,2
Sn,Sn,Tin,50,118.71,0,1
Sb,Sb,Antimony,51,121.76,0,2
Te,Te,Tellurium,52,127.6,0,1
I,I,Iodine,53,126.904,0,2
I-,I,Iodine,53,126.904,-1,1
Xe,Xe,Xenon,54,131.293,0,1
Cs,Cs,Cesium,55,132.905,0,2
Cs+,Cs,Cesium,55,132.905,1,1
Ba,Ba,Barium,56,137.327,0,1
Ba2+,Ba,Barium,56,137.327,2,1
La,La,Lanthanum,57,138.905,0,2
Ce,Ce,Cerium,58,140.116,0,1
Pr,Pr,Praseodymium,59,140.908,0,2
Nd,Nd,Neodymium,60,144.24,0,1
Pm,Pm,Promethium,61,145,0,2
Sm,Sm,Samarium,62,150.36,0,1
Eu,Eu,Europium,63,151.964,0,2
Gd,Gd,Gadolinium,64,157.25,0,1
Tb,Tb,Terbium,65,158.925,0,2
Dy,Dy,Dysprosium,66,162.5,0,1
Ho,Ho,Holmium,67,164.93,0,2
Er,Er,Erbium,68,167.259,0,1
Tm,Tm,Thulium,69,168.934,0,2
Yb,Yb,Ytterbium,70,173.04,0,1
Lu,Lu,Lutetium,71,174.967,0,2
Hf,Hf,Hafnium,72,178.49,0,1
Ta,Ta,Tantalum,73,180.948,0,2
W,W,Tungsten,74,183.84,0,1
Re,Re,Rhenium,75,186.207,0,2
Os,Os,Osmium,76,190.23,0,1
Ir,Ir,Iridium,77,192.217,0,2
Pt,Pt,Platinum,78,195.078,0,1
Au,Au,Gold,79,196.966,0,2
Hg,Hg,Mercury,80,200.59,0,1
Tl,Tl,Thallium,81,204.383,0,2
Pb,Pb,Lead,82,207.2,0,1
Bi,Bi,Bismuth,83,208.98,0,2
Po,Po,Polonium,84,209,0,1
At,At,Astatine,85,210,0,2
Rn,Rn,Radon,86,222,0,1
Fr,Fr,Francium,87,223,0,2
Ra,Ra,Radium,88,226,0,1
Ac,Ac,Actinium,89,227,0,2
Th,Th,Thorium,90,232.038,0,1
Pa,Pa,Protactinium,91,231.036,0,2
U,U,Uranium,92,238.029,0,1
Np,Np,Neptunium,93,237,0,2
Pu,Pu,Plutonium,94,244,0,1
Am,Am,Americium,95,243,0,2
Cm,Cm,Curium,96,247,0,1
Bk,Bk,Berkelium,97,247,0,2
Cf,Cf,Californium,98,251,0,1
Es,Es,Einsteinium,99,252,0,2
Fm,Fm,Fermium,100,257,0,1
Md,Md,Mendelevium,101,258,0,2
No,No,Nobelium,102,259,0,1
Lr,Lr,Lawrencium,103,262,0,2
Rf,Rf,Rutherfordium,104,261,0,1
Db,Db,Dubnium,105,262,0,2
Sg,Sg,Seaborgium,106,266,0,1
Bh,Bh,Bohrium,107,264,0,2
Hs,Hs,Hassium,108,277,0,1
Mt,Mt,Meitnerium,109,268,0,2
